symbol,direction,open_time,close_time,entry,sl,tp,exit,qty,result,gross_pnl,fees_paid,pnl_usdt,pnl_r,liq_price
ETH/USDT,long,2025-03-28 18:05:00+00:00,2025-03-28 18:20:00+00:00,1882.175618,1878.904144,1894.74,1878.904144,0.010626,loss,-0.0348,0.02,-0.0547,-1.575,
ETH/USDT,long,2025-03-29 13:35:00+00:00,2025-03-29 14:25:00+00:00,1856.452763,1850.92974,1878.46,1850.92974,0.010767,loss,-0.0595,0.02,-0.0794,-1.336,
ETH/USDT,long,2025-03-29 17:50:00+00:00,2025-03-30 00:35:00+00:00,1811.575335,1802.929342,1847.11,1847.11,0.011025,win,0.3918,0.0202,0.3716,3.898,
ETH/USDT,long,2025-03-29 18:55:00+00:00,2025-03-29 19:20:00+00:00,1820.42976,1816.58661,1847.11,1816.58661,0.010971,loss,-0.0422,0.02,-0.0621,-1.473,
ETH/USDT,long,2025-03-30 01:20:00+00:00,2025-03-30 13:30:00+00:00,1834.01655,1826.964534,1938.72,1826.964534,0.010924,loss,-0.077,0.02,-0.097,-1.26,
ETH/USDT,long,2025-03-30 22:45:00+00:00,2025-03-31 00:35:00+00:00,1803.251175,1791.471634,1989.0,1791.471634,0.0111,loss,-0.1308,0.02,-0.1507,-1.153,
ETH/USDT,long,2025-03-31 01:15:00+00:00,2025-03-31 08:20:00+00:00,1798.783942,1784.473034,1989.0,1784.473034,0.011111,loss,-0.159,0.0199,-0.1789,-1.125,
ETH/USDT,long,2025-03-31 01:35:00+00:00,2025-03-31 03:50:00+00:00,1810.609852,1802.549418,1989.0,1802.549418,0.011037,loss,-0.089,0.0199,-0.1089,-1.224,
ETH/USDT,long,2025-03-31 03:35:00+00:00,2025-03-31 03:45:00+00:00,1809.329212,1805.83876,1820.43,1805.83876,0.011044,loss,-0.0385,0.02,-0.0585,-1.518,
ETH/USDT,long,2025-03-31 04:15:00+00:00,2025-03-31 04:20:00+00:00,1801.595348,1796.810566,1816.49,1796.810566,0.011074,loss,-0.053,0.0199,-0.0729,-1.376,
ETH/USDT,long,2025-03-31 05:15:00+00:00,2025-03-31 06:15:00+00:00,1809.839467,1806.6386,1820.43,1806.6386,0.011015,loss,-0.0353,0.0199,-0.0552,-1.565,
ETH/USDT,long,2025-03-31 11:25:00+00:00,2025-03-31 12:40:00+00:00,1805.292195,1800.099908,1966.88,1966.88,0.011018,win,1.7804,0.0208,1.7596,30.757,
ETH/USDT,long,2025-03-31 12:10:00+00:00,2025-03-31 12:40:00+00:00,1811.480288,1805.93874,1966.88,1966.88,0.010979,win,1.7062,0.0207,1.6854,27.702,
ETH/USDT,long,2025-03-31 16:35:00+00:00,2025-03-31 17:35:00+00:00,1842.625852,1838.512224,1996.41,1838.512224,0.011169,loss,-0.0459,0.0206,-0.0665,-1.447,
ETH/USDT,long,2025-03-31 19:35:00+00:00,2025-03-31 19:50:00+00:00,1834.666875,1830.203886,2000.0,1830.203886,0.01121,loss,-0.05,0.0205,-0.0706,-1.411,
ETH/USDT,long,2025-04-01 08:55:00+00:00,2025-04-01 09:15:00+00:00,1874.706885,1851.539618,1992.11,1992.11,0.010963,win,1.2871,0.0212,1.2659,4.984,
ETH/USDT,long,2025-04-01 13:55:00+00:00,2025-04-01 14:10:00+00:00,1872.665865,1868.156294,1974.0,1974.0,0.01111,win,1.1258,0.0214,1.1045,22.044,
ETH/USDT,long,2025-04-01 15:25:00+00:00,2025-04-01 16:05:00+00:00,1907.788417,1901.499624,1974.0,1901.499624,0.011021,loss,-0.0693,0.021,-0.0903,-1.303,
ETH/USDT,long,2025-04-01 16:05:00+00:00,2025-04-01 16:50:00+00:00,1896.597825,1887.492426,1974.0,1887.492426,0.011077,loss,-0.1009,0.021,-0.1218,-1.208,
ETH/USDT,long,2025-04-01 16:05:00+00:00,2025-04-01 16:40:00+00:00,1914.987015,1908.078308,1974.0,1908.078308,0.010969,loss,-0.0758,0.021,-0.0968,-1.277,
ETH/USDT,short,2025-04-01 18:25:00+00:00,2025-04-01 21:10:00+00:00,1910.989028,1915.23297,1887.0,1915.23297,0.010971,loss,-0.0466,0.021,-0.0675,-1.451,
ETH/USDT,long,2025-04-01 18:35:00+00:00,2025-04-01 18:50:00+00:00,1906.827937,1903.279268,1921.27,1903.279268,0.010993,loss,-0.039,0.0209,-0.06,-1.537,
ETH/USDT,long,2025-04-02 01:45:00+00:00,2025-04-02 02:05:00+00:00,1890.70488,1886.502624,1906.96,1886.502624,0.011075,loss,-0.0465,0.0209,-0.0675,-1.449,
ETH/USDT,long,2025-04-02 02:35:00+00:00,2025-04-02 03:15:00+00:00,1879.074067,1875.414842,1891.44,1891.44,0.011136,win,0.1377,0.021,0.1167,2.864,
ETH/USDT,long,2025-04-02 08:05:00+00:00,2025-04-02 09:05:00+00:00,1861.925497,1858.908144,1881.03,1881.03,0.011251,win,0.2149,0.0211,0.1939,5.711,
ETH/USDT,long,2025-04-02 08:50:00+00:00,2025-04-02 09:05:00+00:00,1867.05306,1864.42704,1876.96,1876.96,0.011219,win,0.1111,0.021,0.0901,3.06,
ETH/USDT,short,2025-04-02 11:00:00+00:00,2025-04-02 11:10:00+00:00,1872.233415,1876.395204,1855.68,1876.395204,0.01122,loss,-0.0467,0.021,-0.0677,-1.45,
ETH/USDT,short,2025-04-02 11:10:00+00:00,2025-04-02 12:05:00+00:00,1876.98104,1879.395804,1866.17,1879.395804,0.011184,loss,-0.027,0.021,-0.048,-1.778,
ETH/USDT,short,2025-04-02 12:05:00+00:00,2025-04-02 12:30:00+00:00,1880.15945,1884.786882,1862.18,1862.18,0.01116,win,0.2007,0.0209,0.1798,3.481,
ETH/USDT,long,2025-04-02 14:10:00+00:00,2025-04-02 15:05:00+00:00,1864.67187,1858.6282,1886.97,1886.97,0.011272,win,0.2513,0.0211,0.2302,3.379,
ETH/USDT,long,2025-04-02 15:45:00+00:00,2025-04-02 16:35:00+00:00,1899.964508,1889.27207,2000.0,2000.0,0.011087,win,1.1091,0.0216,1.0875,9.173,
ETH/USDT,short,2025-04-02 17:55:00+00:00,2025-04-02 18:35:00+00:00,1893.33286,1898.119548,1865.0,1898.119548,0.011241,loss,-0.0538,0.0213,-0.0751,-1.396,
