symbol,direction,open_time,close_time,entry,sl,tp,exit,qty,result,gross_pnl,fees_paid,pnl_usdt,pnl_r,liq_price
ETH/USDT,short,2026-01-16 07:50:00+00:00,2026-01-16 08:10:00+00:00,3308.76,3313.092486,3300.095028,3313.092486,0.006045,loss,-0.0262,0.02,-0.0462,-1.764,
ETH/USDT,short,2026-01-16 13:40:00+00:00,2026-01-16 14:00:00+00:00,3304.945,3308.46156,3297.91188,3308.46156,0.006049,loss,-0.0213,0.02,-0.0413,-1.94,
ETH/USDT,short,2026-01-16 16:25:00+00:00,2026-01-16 16:45:00+00:00,3284.82,3291.35814,3271.74372,3284.82,0.006083,loss,0.0,0.02,-0.02,-0.502,
ETH/USDT,long,2026-01-16 16:30:00+00:00,2026-01-16 16:35:00+00:00,3275.535,3271.79551,3283.01398,3275.535,0.0061,loss,0.0,0.02,-0.02,-0.876,
ETH/USDT,short,2026-01-16 21:25:00+00:00,2026-01-16 22:55:00+00:00,3292.11,3298.069482,3280.191036,3292.11,0.006067,loss,0.0,0.02,-0.02,-0.552,
ETH/USDT,long,2026-01-17 15:45:00+00:00,2026-01-17 16:20:00+00:00,3322.185,3316.376592,3333.801816,3316.376592,0.006011,loss,-0.0349,0.02,-0.0549,-1.571,
ETH/USDT,long,2026-01-18 13:50:00+00:00,2026-01-18 14:45:00+00:00,3321.28,3316.68653,3330.46694,3328.258723,0.00601,win,0.0419,0.02,0.022,0.795,
ETH/USDT,long,2026-01-18 14:25:00+00:00,2026-01-18 14:35:00+00:00,3332.5,3328.654136,3340.191728,3332.5,0.005989,loss,0.0,0.02,-0.02,-0.867,
ETH/USDT,long,2026-01-18 14:40:00+00:00,2026-01-18 15:00:00+00:00,3326.66,3321.805506,3336.368988,3321.805506,0.005998,loss,-0.0291,0.0199,-0.0491,-1.685,
ETH/USDT,long,2026-01-18 18:05:00+00:00,2026-01-18 19:15:00+00:00,3336.795,3331.43358,3347.51784,3353.420068,0.005979,win,0.0994,0.02,0.0794,2.477,
ETH/USDT,long,2026-01-18 19:15:00+00:00,2026-01-18 20:35:00+00:00,3348.305,3340.3318,3364.2514,3340.3318,0.005963,loss,-0.0475,0.0199,-0.0675,-1.419,
ETH/USDT,short,2026-01-18 20:45:00+00:00,2026-01-18 21:45:00+00:00,3344.305,3348.439554,3336.035892,3343.856333,0.005966,loss,0.0027,0.02,-0.0173,-0.7,
ETH/USDT,short,2026-01-18 23:10:00+00:00,2026-01-19 02:20:00+00:00,3338.48,3350.199906,3315.040188,3213.995673,0.005975,win,0.7439,0.0196,0.7243,10.342,
ETH/USDT,short,2026-01-19 00:35:00+00:00,2026-01-19 00:55:00+00:00,3216.89,3221.264124,3208.141752,3216.89,0.006201,loss,0.0,0.0199,-0.0199,-0.735,
ETH/USDT,short,2026-01-19 00:40:00+00:00,2026-01-19 02:20:00+00:00,3230.58,3248.129496,3195.481008,3213.995673,0.006174,win,0.1024,0.0199,0.0825,0.761,
ETH/USDT,long,2026-01-19 00:55:00+00:00,2026-01-19 01:45:00+00:00,3210.075,3195.790714,3238.643572,3195.790714,0.006212,loss,-0.0887,0.0199,-0.1086,-1.224,
ETH/USDT,short,2026-01-19 01:55:00+00:00,2026-01-19 02:05:00+00:00,3203.175,3207.771426,3193.982148,3203.175,0.006219,loss,0.0,0.0199,-0.0199,-0.697,
ETH/USDT,long,2026-01-19 02:55:00+00:00,2026-01-19 03:20:00+00:00,3201.31,3197.66034,3208.60932,3201.31,0.006273,loss,0.0,0.0201,-0.0201,-0.877,
ETH/USDT,short,2026-01-19 05:30:00+00:00,2026-01-19 07:15:00+00:00,3206.645,3213.232518,3193.469964,3199.139616,0.006261,win,0.047,0.0201,0.0269,0.653,
ETH/USDT,long,2026-01-19 09:40:00+00:00,2026-01-19 12:00:00+00:00,3204.05,3196.590554,3218.968892,3218.823438,0.006268,win,0.0926,0.0201,0.0725,1.55,
ETH/USDT,short,2026-01-19 23:25:00+00:00,2026-01-20 00:05:00+00:00,3183.715,3196.43916,3158.26668,3196.43916,0.006312,loss,-0.0803,0.0201,-0.1005,-1.251,
ETH/USDT,long,2026-01-19 23:40:00+00:00,2026-01-19 23:50:00+00:00,3185.33,3181.153642,3193.682716,3185.33,0.006308,loss,0.0,0.0201,-0.0201,-0.763,
ETH/USDT,long,2026-01-20 00:10:00+00:00,2026-01-20 00:15:00+00:00,3190.39,3185.992674,3199.184652,3185.992674,0.006292,loss,-0.0277,0.0201,-0.0477,-1.725,
ETH/USDT,long,2026-01-20 00:20:00+00:00,2026-01-20 01:10:00+00:00,3179.06,3174.744924,3187.690152,3179.06,0.006311,loss,0.0,0.0201,-0.0201,-0.737,
ETH/USDT,short,2026-01-20 00:35:00+00:00,2026-01-20 00:40:00+00:00,3187.745,3191.518176,3180.198648,3191.518176,0.006293,loss,-0.0237,0.0201,-0.0438,-1.845,
ETH/USDT,long,2026-01-20 01:40:00+00:00,2026-01-20 02:05:00+00:00,3186.615,3180.133846,3199.577308,3186.615,0.006292,loss,0.0,0.0201,-0.0201,-0.492,
ETH/USDT,short,2026-01-20 02:30:00+00:00,2026-01-20 02:45:00+00:00,3189.525,3192.978468,3182.618064,3192.978468,0.006285,loss,-0.0217,0.0201,-0.0418,-1.924,
ETH/USDT,long,2026-01-20 06:00:00+00:00,2026-01-20 06:10:00+00:00,3168.19,3164.826908,3174.916184,3164.826908,0.006325,loss,-0.0213,0.02,-0.0413,-1.942,
ETH/USDT,short,2026-01-20 06:25:00+00:00,2026-01-20 09:20:00+00:00,3152.755,3165.78303,3126.69894,3112.251654,0.006353,win,0.2573,0.0199,0.2374,2.868,
ETH/USDT,short,2026-01-20 08:20:00+00:00,2026-01-20 09:20:00+00:00,3113.4,3121.57419,3097.05162,3112.251654,0.006433,loss,0.0074,0.02,-0.0126,-0.24,
ETH/USDT,short,2026-01-20 12:25:00+00:00,2026-01-20 13:00:00+00:00,3108.975,3112.882452,3101.160096,3108.975,0.006457,loss,0.0,0.0201,-0.0201,-0.796,
ETH/USDT,long,2026-01-20 14:10:00+00:00,2026-01-20 14:15:00+00:00,3080.935,3076.064664,3090.675672,3076.064664,0.006514,loss,-0.0317,0.0201,-0.0518,-1.632,
ETH/USDT,short,2026-01-20 14:25:00+00:00,2026-01-20 14:35:00+00:00,3074.06,3081.936264,3058.307472,3074.06,0.006526,loss,0.0,0.0201,-0.0201,-0.39,
ETH/USDT,short,2026-01-20 14:55:00+00:00,2026-01-20 17:05:00+00:00,3055.025,3070.1139,3024.8472,3021.211488,0.006565,win,0.222,0.0199,0.202,2.04,
